stripe_invoice_id,customer_id,subscription_id,month,year,description,status,invoice_url,attempt_count,created_at,updated_at
inv_eda2b9d8-caec-4913-85ac-953fff43a439_11_2022,cus_400bc41d034e4aa1,,11,2022,,paid,,,2022-11-26 09:00:41.625067+00,2022-11-26 09:00:41.625067+00
inv_954d7987-df52-4806-b77c-92e8ed047f0b_11_2022,cus_bdd74c296ef6421f,,11,2022,,paid,,,2022-11-26 09:00:41.625067+00,2022-11-26 09:00:41.625067+00
inv_b541aae1-1c1b-4208-8f6f-0f8ca963ce03_11_2022,cus_68ccc2e4110e403f,,11,2022,,paid,,,2022-11-26 09:00:41.625067+00,2022-11-26 09:00:41.625067+00
inv_1e7800b2-b80c-47f4-a872-99acf506601b_11_2022,cus_508d9ced9abb42d7,,11,2022,,paid,,,2022-11-26 09:00:41.625067+00,2022-11-26 09:00:41.625067+00
inv_3b63f6f5-ee88-483c-972e-636ef0a0398d_11_2022,cus_f0764f588cdf4289,,11,2022,,paid,,,2022-11-26 09:00:41.625067+00,2022-11-26 09:00:41.625067+00
inv_2e7442ae-358b-4eb6-b258-5d45f022f1bc_11_2022,cus_dc5ea25263414aac,,11,2022,,paid,,,2022-11-26 09:00:41.625067+00,2022-11-26 09:00:41.625067+00
inv_080abba9-cbce-4473-8d8b-e866cb8467e4_11_2022,cus_e5f7c34c88ab499d,,11,2022,,paid,,,2022-11-26 09:00:41.625067+00,2022-11-26 09:00:41.625067+00
inv_3d24de5a-7a44-45c9-9ed9-9c7b61176e3d_11_2022,cus_4a70ca84b46043ef,,11,2022,,paid,,,2022-11-26 09:00:41.625067+00,2022-11-26 09:00:41.625067+00
inv_16888ca0-1fe8-461d-b616-bd0a45941f2f_11_2022,cus_fbe59bc2c84c4926,,11,2022,,paid,,,2022-11-26 09:00:41.625067+00,2022-11-26 09:00:41.625067+00
inv_87c88305-bbe8-4e7a-96ee-60ab6005f957_11_2022,cus_eb5140076ab04c3f,,11,2022,,paid,,,2022-11-26 09:00:41.625067+00,2022-11-26 09:00:41.625067+00
inv_52a66fcf-5840-48bb-9eae-263970f22895_11_2022,cus_aaeaa26a9f364a3a,,11,2022,,paid,,,2022-11-26 09:00:41.625067+00,2022-11-26 09:00:41.625067+00
inv_69c6cd30-515f-40ee-ae04-8214ad3d3dea_11_2022,cus_5211e964cffe4212,,11,2022,,paid,,,2022-11-26 09:00:41.625067+00,2022-11-26 09:00:41.625067+00
inv_ea5dafad-bbab-43e8-8e6a-e5236bc85440_11_2022,cus_b002965a44a24373,,11,2022,,paid,,,2022-11-26 09:00:41.625067+00,2022-11-26 09:00:41.625067+00
inv_17eacb47-cab4-4cb5-8d08-9a991067ccda_11_2022,cus_c373f2afc2c544ea,,11,2022,,paid,,,2022-11-26 09:00:41.625067+00,2022-11-26 09:00:41.625067+00
inv_1faa3eeb-9875-4deb-9035-1a6a0b315f85_11_2022,cus_28bfb600e19c4dfe,,11,2022,,paid,,,2022-11-26 09:00:41.625067+00,2022-11-26 09:00:41.625067+00
inv_a30a353a-42fa-4251-9f45-d58f4211e61c_11_2022,cus_2ccdb527d1744198,,11,2022,,paid,,,2022-11-26 09:00:41.625067+00,2022-11-26 09:00:41.625067+00
inv_0ae3afa9-9d3d-4238-b743-3594b0b5f2cd_11_2022,cus_18c46ac845dd47f8,,11,2022,,paid,,,2022-11-26 09:00:41.625067+00,2022-11-26 09:00:41.625067+00
inv_02114b93-b7ca-472a-a6a1-637a37afba88_11_2022,cus_829044b6c42d4fe0,,11,2022,,paid,,,2022-11-26 09:00:41.625067+00,2022-11-26 09:00:41.625067+00
inv_89af4366-894c-49a5-82d9-b1f888b59a2c_11_2022,cus_2d2522bd18034eac,,11,2022,,paid,,,2022-11-26 09:00:41.625067+00,2022-11-26 09:00:41.625067+00
inv_936048a5-d63d-4453-b020-cf96252e716c_11_2022,cus_97cd316a6b2c4648,,11,2022,,paid,,,2022-11-26 09:00:41.625067+00,2022-11-26 09:00:41.625067+00
inv_dbe962cb-b4a4-4fe9-be2d-f4d3338c2550_11_2022,cus_aaa27c6088554adf,,11,2022,,paid,,,2022-11-26 09:00:41.625067+00,2022-11-26 09:00:41.625067+00
inv_eda2b9d8-caec-4913-85ac-953fff43a439_12_2022,cus_400bc41d034e4aa1,,12,2022,,paid,,,2022-12-26 09:00:41.625067+00,2022-12-26 09:00:41.625067+00
inv_fa87abc9-ef26-42e9-9fbd-1c90a26a2ddb_12_2022,cus_b7f6887cf4874bc1,,12,2022,,paid,,,2022-12-26 09:00:41.625067+00,2022-12-26 09:00:41.625067+00
