id,ticket_id,body,created_at,user_id
1,1,"Hi,

Auth headers aren't propagating to our remote schema:

Config:
```yaml
remote_schemas:
  - name: remote_api
    definition:
      forward_client_headers: true
      headers:
        - name: Authorization
          value: ${{auth_token}}
```

Auth provider: Clerk
Error: CPU limit exceeded

How should we configure header forwarding?",2024-08-13 15:30:42.5071+00,1
2,1,Hi there! Thank you for reaching out. I understand that you’re facing issues with the Authorization headers not propagating to your remote schema. Let's take a closer look at your configuration. ,2024-08-13 17:02:42.5071+00,6056
3,1,"Thanks for the quick response! The `auth_token` is generated via Clerk and we are retrieving it on the client side before making the API request. We haven’t seen any specific error logs other than the ""CPU limit exceeded"" message. ",2024-08-13 18:38:42.5071+00,1
4,1,"Thanks for the clarification! The ""CPU limit exceeded"" error can indeed be related to performance issues, which may occur if the server is handling too many requests simultaneously or if there are inefficiencies in the schema. ",2024-08-13 19:17:42.5071+00,6056
5,1,I have also found a few best practices for using Clerk with Hasura that may help with your configuration. You might want to ensure that the `auth_token` is added to the request context appropriately and consider implementing caching mechanisms for frequently accessed data. ,2024-08-13 21:12:42.5071+00,6056
6,1,"I appreciate your recommendations! I’ve made the adjustments and re-tested the configuration. The headers are now propagating correctly, and the CPU limit issue seems to be resolved. ",2024-08-13 21:47:42.5071+00,1
7,2,"Hi,

We're trying to set up SSL for our Hasura instance on GCP GKE but encountering issues:

Environment:
- Database: PostgreSQL 13
- Product: Hasura Cloud Standard
- Region: eu-central-1

Error:
```
incompatible types: SSL/TLS handshake failed
```

Our configuration:
```yaml
ssl:
  certificates:
    mode: verify-full
    root_cert: /path/to/cert
```

What's the correct SSL setup for this environment?",2024-06-26 16:18:03.915628+00,1
8,2,Hello! Thank you for reaching out regarding the SSL configuration for your Hasura instance on GCP GKE. I understand you're encountering an SSL/TLS handshake failure. Let's resolve this as soon as possible. ,2024-06-26 16:40:03.915628+00,7955
9,2,"Hi, thanks for the quick response! I've double-checked the certificate path, and it seems correct. The certificate is valid and not expired either. However, I haven’t seen any additional logs. The error appears to be coming directly from the application when it tries to connect. ",2024-06-26 17:32:03.915628+00,1
10,2,"Thank you for the update! It's good to know that the certificate itself is valid. Regarding your PostgreSQL server configuration, please ensure that the following settings are in place in your `postgresql.conf` file:",2024-06-26 18:57:03.915628+00,7955
11,2,"I checked the configurations, and everything seems to be set up correctly. The `postgresql.conf` has SSL enabled, and the `pg_hba.conf` allows SSL connections. I also restarted the database after making sure everything was correct. ",2024-06-26 20:21:03.915628+00,1
12,2,"Thanks for the information! Since the PostgreSQL configurations appear to be correct, the issue may lie with how GKE handles the SSL certificates. I recommend ensuring that the Kubernetes secrets containing the SSL certificates are properly mounted in your pod configuration. ",2024-06-26 21:05:03.915628+00,7955
